vehicle_id,node_idx,node_id,lat,lon,cumulative_distance_km,zone_id
8,0,depot,-23.563536,-46.543798,1.615,0
8,24,6909,-23.549051797391655,-46.54498452331353,4.393,0
8,13,3308,-23.538886538302837,-46.520095510271766,4.976,0
8,33,12062,-23.534514,-46.52324972002136,9.014,0
8,22,6683,-23.52731184179699,-46.56207954119767,12.145,0
8,26,7527,-23.5554593052975,-46.56250633736248,17.212,0
8,12,2932,-23.59882716180968,-46.54722998112987,17.942,0
8,28,9543,-23.602318297665775,-46.541161101506155,22.187,0
8,5,1021,-23.621427146546235,-46.50509772245941,25.363,0
8,21,6658,-23.596446321397657,-46.520222864837805,25.891,0
8,37,13406,-23.600587452954596,-46.51769673001902,26.569,0
8,52,18864,-23.59458809459781,-46.51648102553523,27.275,0
8,46,16610,-23.591046185123204,-46.51073435276126,30.052,0
8,20,5314,-23.568369841052455,-46.52214825721335,30.418,0
8,4,838,-23.56972517425462,-46.525425424149994,30.418,0
8,29,10289,-23.56972517425462,-46.525425424149994,32.286,0
8,53,19005,-23.575449467943912,-46.54265940605341,33.814,0
8,35,13193,-23.586381031363597,-46.551741197198325,34.662,0
8,8,1914,-23.59399496820805,-46.55209142714523,35.519,0
8,18,3772,-23.601201453517177,-46.54908781571352,36.185,0
8,15,3638,-23.59802949673051,-46.543542836661096,37.027,0
8,2,444,-23.59064857146978,-46.541716024842735,39.624,0
8,25,7437,-23.60695263252354,-46.523467523053725,41.15,0
8,45,16277,-23.616358239800338,-46.51255702039933,42.096,0
8,32,11546,-23.621427146546235,-46.50509772245941,43.306,0
8,14,3597,-23.61937640770624,-46.49343235762367,44.517,0
8,34,12939,-23.620468002221696,-46.48161159977497,45.994,0
8,16,3689,-23.60935754954124,-46.489552176798995,46.878,0
8,51,18310,-23.606004570658676,-46.48168087852869,49.068,0
8,44,16074,-23.58731704108712,-46.48847306258296,51.498,0
8,9,2315,-23.56565346572221,-46.49155818151653,52.532,0
8,48,17131,-23.557936798228372,-46.49722705023374,53.581,0
8,39,14587,-23.556704794059105,-46.50743201276761,54.796,0
8,17,3755,-23.549529939494484,-46.516425102833374,56.389,0
8,19,3966,-23.538359210932555,-46.50664480099833,57.655,0
8,43,16054,-23.527202888424043,-46.50418226181159,58.217,0
8,7,1663,-23.522749239800333,-46.50679016007846,59.366,0
8,38,13706,-23.512735889072346,-46.50959168913392,62.418,0
8,30,10529,-23.534804735212703,-46.52737625624673,65.068,0
8,31,11363,-23.54029910297761,-46.55267675214958,66.22,0
8,1,352,-23.530453669715538,-46.55620020996593,66.554,0
8,40,14724,-23.52810085567546,-46.55822429309247,67.266,0
8,27,9166,-23.5308241992758,-46.564551750224425,70.162,0
8,50,17907,-23.53922405912052,-46.59143579156327,71.297,0
8,3,661,-23.54884141326677,-46.59518233236193,72.022,0
8,47,16722,-23.55531585498297,-46.5943762934965,73.038,0
8,41,14736,-23.562214532892817,-46.600915018075554,73.957,0
8,54,19060,-23.568397334439407,-46.594926047319525,75.284,0
8,49,17859,-23.56336681736947,-46.58312135789717,77.664,0
8,23,6854,-23.58474495679707,-46.58430283693359,78.545,0
8,42,15686,-23.592408816456533,-46.58212866064204,81.116,0
8,10,2338,-23.57725027484645,-46.563080019752505,82.224,0
8,11,2432,-23.567368436574057,-46.561670691599474,84.208,0
8,6,1201,-23.569351574528195,-46.54232710961854,84.463,0
8,36,13351,-23.56705512685216,-46.54226295045876,84.885,0
8,0,depot,-23.553947,-46.658448,0.677,1
8,71,2073,-23.547859868168935,-46.658684483755614,2.819,1
8,51,12464,-23.53816275104938,-46.67683522468111,3.492,1
8,23,3023,-23.53455394976627,-46.68213637745976,4.864,1
8,53,2994,-23.52949102553522,-46.69441048557327,5.191,1
8,9,14437,-23.530825010964268,-46.69727096142303,5.814,1
8,42,2941,-23.532287647238732,-46.70317225867044,6.122,1
8,64,4808,-23.534084958559667,-46.70088217208146,7.985,1
8,17,2006,-23.544731000836723,-46.68676936635128,9.29,1
8,11,8193,-23.55327938800568,-46.695541202380284,9.607,1
8,32,15462,-23.551963325798734,-46.69829745974958,13.999,1
8,22,13136,-23.589532885654087,-46.71162076379026,18.639,1
8,75,5966,-23.559253304960237,-46.68029661309511,18.846,1
8,7,11500,-23.56075261449015,-46.67910014042939,21.154,1
8,20,15970,-23.56442600742329,-46.65680586903512,22.386,1
8,43,253,-23.565974071325552,-46.64484410309317,23.642,1
8,73,15837,-23.555771764343227,-46.639553016612446,23.642,1
8,15,8150,-23.555771764343227,-46.639553016612446,25.655,1
8,28,4315,-23.555474496537553,-46.61980219900167,26.973,1
8,37,6347,-23.548520451295477,-46.6093393380461,28.837,1
8,54,8557,-23.531820448929544,-46.61097274285875,31.765,1
8,3,2241,-23.539369243407013,-46.638486209821714,33.166,1
8,44,8563,-23.53151235913791,-46.64923040487045,34.349,1
